CT_titles,ECs,common
Ozurdex Versus Ranibizumab Versus Combination for Central Retinal Vein,[exclusion] anterior chamber IOL and rupture of posterior lens capsule,
"A Phase IIa Open-Label Trial of AGEN1884 in Combination With Pembrolizumab in Subjects With Chemotherapy Na?ve, PD-L1 High, Metastatic Non-Small Cell Lung Cancer (NSCLC)","[exclusion] has received prior systemic cytotoxic chemotherapy, biological therapy, OR major surgery within 3 weeks of the first dose of trial treatment; received thoracic radiation therapy of > 30 Gy within 6 months of the first dose of trial treatment",
"A Randomized, Double-Blind, Placebo Controlled, Phase 2 Trial of Paclitaxel in Combination With AMG 386 in Subjects With Advanced Recurrent Epithelial Ovarian or Primary Peritoneal Cancer",[inclusion] prior myeloablative high dose chemotherapy with allogeneic or autologous stem cell (or bone marrow) transplant,
The Effect of Botulinum Toxin A Injections on Ankle Dorsiflexion Following Internal Fixation of Tibial Plafond (Pilon) Fractures: A Pilot Study,"[exclusion] ipsilateral foot injury that will impair dorsiflexion exercises: Lisfranc injuries, fractures or dislocations of the talus, calcaneus, navicular, cuboid, cuneiforms, or metatarsals (phalanx fractures or dislocations will not be excluded)",
A STUDY OF NERATINIB PLUS CAPECITABINE VERSUS LAPATINIB PLUS CAPECITABINE IN PATIENTS WITH HER2+ METASTATIC BREAST CANCER WHO HAVE RECEIVED TWO OR MORE PRIOR HER2-DIRECTED REGIMENS IN THE METASTATIC SETTING (NALA),"[exclusion] received previous therapy with capecitabine, neratinib, lapatinib, or any other HER2 directed tyrosine kinase inhibitor",
"A Phase 2, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of RM 493, a Melanocortin 4 Receptor (MC4R) Agonist in Obese Patients",[inclusion] be between the age of 18 and 65,1
Multicentric Phase II Trial to Evaluate the Efficacy and Safety of Ibrutinib in Combination With Rituximab in Patients With Indolent Clinical Forms of Mantle Cell Lymphoma,[inclusion] ann Arbor clinical stages I-IV,
A Trial of Transplanting Hepatitis C Kidneys Into Hepatitis C-Negative Kidney Recipients,[inclusion] able to provide informed consent,1
Randomized Study of Rituximab (Mabthera) in Patients With Relapsed Follicular Lymphoma Prior to High-Dose Therapy as In Vivo Purging and to Maintain Remission Following High-Dose Therapy,[inclusion] see Disease Characteristics,1
A Phase II Study of sEphB4-HSA in Kaposi Sarcoma,[exclusion] participants with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events,
"""Phase II Study of the Combination of Panitumumab With Paclitaxel as First-line Treatment of Subjects With Metastatic or Recurrent Head and Neck Cancer""","[exclusion] pulmonary embolism, deep vein thrombosis, or other significant thromboembolic event ∥ 8 weeks prior to starting the study treatment",
"A Phase 2 Randomized, Double-blinded, Placebo-controlled Study to Evaluate the Efficacy and Safety of MEDI3506 in Adult Subjects With Moderate-to-severe Atopic Dermatitis",[exclusion] known active allergic or irritant contact dermatitis,
"Phase IIA Trial of the Safety and Tolerability of Increased Dose Rifampicin and Adjunctive Linezolid With or Without Aspirin, for HIV-associated Tuberculous Meningitis",[exclusion] the presence of one or more of the following: International normalised ration (INR) > 1.4 and/or clinical evidence of liver failure or decompensated cirrhosis,
"Double-blind, Placebo-controlled, Randomized Phase II-study Investigating the Efficacy of Bevacizumab for Symptom Control in Patients With Malignant Ascites Due to Advanced-stage Gastrointestinal Cancers",[inclusion] ascites clinically judged as not responsive to diuretics,
"ABLE: Phase II, Single Arm, Two-stage Study of Abraxane With Anti-PD1/PDL1 in Patients With Advanced Urothelial Cancer",[exclusion] has a known additional malignancy that is progressing or requires active treatment,
Argon Plasma Coagulation Plus Placebo or Oral Sucralfate for Chronic Radiation Proctopathy: a Randomized Placebo Controlled Trial,[inclusion] informed written consent to participate in the study,1
"A Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetic / Pharmacodynamic Effects of a Targeted Exposure of Intravenous Repinotan in Patients With Acute Ischemic Stroke",[inclusion] males or females aged 18 years or over,1
"Phase II Trial Evaluating the Safety and Efficacy of Atezolizumab in Combination With Cabozantinib for the Treatment of Metastatic, Refractory Pancreatic Cancer","[exclusion] pregnancy or breastfeeding, or intention of becoming pregnant during study treatment of within 6 months after the final dose of study treatment. Women of childbearing potential must have a negative serum pregnancy test result within 14 days prior to initiation of study treatment",1
Phase 2 Study of Sorafenib Plus Protracted Temozolomide in Recurrent Glioblastoma Multiforme,"[exclusion] excessive risk of bleeding as defined by stroke within prior 6 months, history of CNS or intraocular bleed, or septic endocarditis",
Effects of Varenicline in Heavy Drinking Smokers,[inclusion] be between the ages of 21 and 55 and provide informed consent,1
A Phase 1b/ 2a Pilot Trial of the Oral Hedgehog Signalling Inhibitor Glasdegib in Patients With Sclerotic Chronic Graft-Versus-Host Disease Refractory to Second-Line Treatment,"[exclusion] patients presenting with any of the following will not be included in the study: Any one of the following, currently or in the previous 6 months: myocardial infarction, congenital long QT syndrome, torsade de pointes or clinically significant ventricular arrhythmias",
Phase II Trial Exploring Combined Neoadjuvant Therapy With Pembrolizumab/Lenvatinib and Adjuvant Pembrolizumab in Patients With Surgically Resectable Non-Small- Cell Lung Cancer (NSCLC),[exclusion] bleeding and/or thrombotic disorders and/or subjects at risk for severe hemorrhage. The degree of tumor invasion/infiltration of major blood vessels should be considered because of the potential risk of severe hemorrhage associated with tumor shrinkage/necrosis following Lenvatinib therapy,
"A Double-Blind Randomized Study to Compare the Efficacy, Safety, and Local Tolerability of a 0.5% Ivermectin Cream Compared to a Topical Vehicle Control in Subjects With Pediculus Humanus Capitis Infestation",[exclusion] prior participation in any ivermectin trials,1
Open Randomized Trial Examining the Growth and Safety Effects of Treatment With Recombinant Growth Hormone on Infants Aged 1 to 2 Years With Growth Retardation Secondary to Chronic Renal Insufficiency,[exclusion] known or suspected allergy to the trial product or related products,1
A Phase 1 Safety and Pharmacokinetics Study of AER 001 Administered as a Dry Powder in Asthmatic Subjects,[inclusion] adult males and females > 18 years,1
Phase I/II Study of Seleno-L Methionine (SLM) in Sequential Combination With Fixed Doses and Schedules of Axitinib and Pembrolizumab (SAP) in Locally Advanced and Metastatic Clear Cell Renal Cell Carcinoma (ccRCC),"[inclusion] renal function (creatinine level within normal institutional limit, or creatinine clearance >15 mL/min/1.73 m2 for patients with creatinine levels above institutional normal, calculated using the Cockcroft-Gault formula)",1
Phase II Study of Sunitinib Malate in Head and Neck Squamous Cell Carcinoma,[inclusion] no other concurrent anticancer agents or therapies,
Phase I Study of MK-3475 in Combination With BCG for Patients With High Risk Superficial Bladder Cancer,"[exclusion] evidence of muscle invasive bladder cancer, or transitional cell carcinoma of the upper urinary tract",
Phase 1 Study of Combination Therapy With Mogamulizumab (KW-0761) and Nivolumab (ONO-4538/BMS-936558) in Subjects With Advanced Solid Tumors,[inclusion] histologically or cytologically confirmed locally advanced or metastatic solid tumors,
A Phase 1 Dose-Escalation Trial of Intravesical CG0070 for Superficial Transitional Cell Carcinoma of the Bladder After Bacillus Calmette-Guerin Failure,[exclusion] active systemic autoimmune disease or chronic immunodeficiency,1
The Safety of Celecoxib (Celebrex) in Patients With Crohn's Disease,[exclusion] enrolled in any other study involving non-steroidal anti-inflammatory drug (NSAID) medications,
"The Aging Brain and Cognition: Contribution of Vascular Injury, Amyloid Plaque and Tau Protein to Cognitive Dysfunction After Stroke",[exclusion] cognitive impairment resulting from trauma or brain damage,
"Evaluation of Food Effect on Pharmacokinetics of GDC-0449, an Inhibitor of Hedgehog Signaling",[exclusion] patients may not be receiving any other investigational agents,1
"A Phase II Trial of Perioperative Chemotherapy With Oxaliplatin, 5-Fluorouracil, Leucovorin(MODIFIED FOLFOX6) in Patients With Locally Advanced Operable Gastric Cancer",[inclusion] at least one measurable regional lymph node metastasis according to the Response Evaluation Criteria in Solid Tumors (RECIST v. 1.0),1
SCANDIUM II Trial - A Phase I Randomized Controlled Multicentre Trial of Isolated Hepatic Perfusion in Combination With Ipilimumab and Nivolumab in Patients With Uveal Melanoma Metastases,[exclusion] life expectancy of less than 3 months,1
"An Open-label, Phase II Clinical Study to Evaluate the Efficacy and Safety of Lanreotide Autogel 90mg Every 4 Weeks in the Treatment of Symptomatic Polycystic Liver Disease, Including a Dose Escalation at Month 6 to Lanreotide Autogel 120mg for Non Responders",[exclusion] pregnant or lactating,1
"A 8-week, Multi Center(10),Single Arm, Open-labeled Prospective Study of Valsartan 160 mg in 200 Mild to Moderate Chinese Hypertension Patients Forced Titrated From 2-week Therapy of Valsartan 80 mg.",[exclusion] renal dysfunction(serum creatinine > 2.0mg(176.8レmol/L)at visit 1),1
Phase I Study of the Combination of MLN8237 and Gemcitabine in Advanced Solid Tumors With Emphasis on Pancreatic Cancer,"[inclusion] any prior chemotherapy, immunotherapy or targeted therapy must have been completed at least 2 weeks prior to start of this protocol and all side effects (except alopecia, lymphopenia and hyperglycemia) resolved to grade 1 or less; any prior radiation must have been completed at least 2 weeks prior to start of therapy",1
"An Open-label Balanced, Randomised, Single Dose, Two-way Crossover Study to Determine the Bioequivalence of GW483100 10 mg Tablets (Containing Montelukast Sodium Equivalent to 10 mg of Montelukast) Relative to Reference Montelukast Sodium 10 mg Tablets (Containing Montelukast Sodium Equivalent to 10 mg of Montelukast) in Healthy Male and Female Volunteers Under Fasting Conditions",[exclusion] gastrointestinal disease or with gastrointestinal surgical history which can affect the absorption of the investigational drug,
Impact of Alternative Blood Glucose Testing Site (Forearm) on Pain Reduction in Preterm Neonates.,[exclusion] severe neurologic injury,
An Open Study to Investigate the Effect of Different Boosting Agents on Pharmacokinetics of Single Doses of BILR 355 BS (Dose Steps: 5 and 12.5 mg) Dissolved in 5 mL PEG 400 After Oral Administration in Healthy Male Volunteers,"[exclusion] for the boosting agents atazanavir and atazanavir plus ritonavir, subjects with a PQ interval length in the screening ECG of > 200 ms or any higher degree of atrio-ventricular (AV) block were to be excluded",
Ghrelin (OXE--103) for Acute Concussion Management,[inclusion] ultimately study subject participation will be at the discretion of the study physician,1
Effect of Baclofen on Marijuana Withdrawal and Relapse,"[exclusion] current, repeated illicit drug use (other than marijuana)",1
"Phase 1 Study of the Safety and Immunogenicity of Pfs230D1M-EPA/Alhydrogel and Pfs25M-EPA/Alhydrogel, a Transmission Blocking Vaccine Against Plasmodium Falciparum Malaria in Adults in the US and Mali",[exclusion] alanine transaminase (ALT) or creatinine (Cr) level above the local laboratory-defined upper limit of normal (subjects may be included at the investigator s discretion for not clinically significant values outside of normal range),1
Tailored Hydration for the Prevention of Post-endoscopic Retrograde Cholangiopancreatography Pancreatitis,[exclusion] hyperkalemia (5.1 mEq/dL),
"Intravenous Acetaminophen for Craniotomy Patients: A Single-blinded, Randomized Controlled Trial to Evaluate the Effect of Intravenous Acetaminophen Administered at Induction and Emergence From Craniotomy",[exclusion] surgery for resection of acoustic neuroma,
Teriparatide and Risedronate in the Treatment of Patients With Severe Postmenopausal Osteoporosis: Comparative Effects on Vertebral Fractures,[exclusion] unable to stand or sit in the upright position for at least 30 minutes,
First Evaluation of Morphine Hydrochloride by Nebulisation Compared to Intravenous Route in Healthy Volunteers: Preliminary Study Dose,[exclusion] taking psychotropic drugs long-term,1
"A Randomized, Single-Blind, Comparative Bioavailability Study to Assess the Pharmacokinetic Properties of VeraCept≒ Intrauterine Contraceptive vs ParaGard∝ in Healthy, Post-Menarcheal Women","[exclusion] planned use of any non-contraceptive estrogen, progesterone or testosterone any time during the 60 months of study participation",
Treatment of Chronic Lymphocytic B-Leukemia (B-CLL) With Human IL-2 Gene Modified and Human CD40 Ligand-Expressing Autologous Tumor Cells After Depletion of Regulatory T Cells,[inclusion] absolute neutrophil count (ANC) greater than or equal to 500/mL,
"A Prospective, Randomized, Double-Blind, Placebo Controlled Study of the Long-Term Efficacy of Nebivolol in Hypertensive Patients After Withdrawal of Therapy",[exclusion] treatment with any investigational study drug within 30 days of Screening (Visit 1),1
Intrathecal (IT) Baclofen Drug Distribution Pilot Study,[exclusion] patients who have intradural blockage that prevents advancing the IT catheter to the level of C4,
Safety and Efficacy of Etanercept in Patients With Psoriasis,[exclusion] has received a live attenuated vaccine within the 12 weeks prior to Day 0 or plans to receive one during the study,
"Phase II, Dosimetry-Guided, Peptide Receptor Radiotherapy (PRRT) With 90Y-DOTA- tyr3-Octreotide (90Y-DOTATOC) in Children and Adults With Neuroendocrine and Other Somatostatin Receptor Expressing Tumors",[exclusion] external beam radiation to both kidneys (scatter doses of <500 cGy to a single kidney or radiation to < 50% of a single kidney is acceptable),
"A Randomized, Open, Multicenter Phase 3 Study for Efficacy and Safety Assessment of DHP107 (Oral Paclitaxel) vs. Taxol∝ in Patients With Metastatic or Recurrent Gastric Cancer After Failure of First-line Chemotherapy With Fluoropyrimidine +/- Platinum",[exclusion] history of abuse of a drug or alcohol within 3 months,1
Pilot Phase II Study of Metronomic Chemotherapy in Combination With Avastin in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,"[exclusion] major surgical procedure, open biopsy, or significant traumatic injury within 28 days prior to Day 1 or anticipation of need for major surgical procedure during the course of the study",
"A Randomised, Single-blind, Placebo-controlled (Within Dose Groups) Study to Assess Safety, Tolerability and Pharmacokinetics of Single Rising Peroral Doses (15, 30, 40 レg Free Cation) BI 1744 CL in Healthy Male Volunteers",[exclusion] chronic or relevant acute infections,1
A Multicentre Randomised Phase II Clinical Trial to Demonstrate Equivalent Pharmacodynamic Efficacy and Tolerability of Two Updosing Schedules for ALK-Flex SQ,[exclusion] history of asthma exacerbation or emergency visit or admission for asthma in the previous 12 months,
"Impact of Concomitant Methotrexate on Efficacy, Safety and Adherence of Ustekinumab-treatment in Patients With Active Psoriasis Arthritis",[exclusion] history of a severe psychological illness or condition,1
Positron Emission Tomography Repeatability Evaluation of Tissue Zirconium 89Zr Crefmirlimab Berdoxam,[inclusion] cohort 1: Patients with melanoma on single or multiple agent Immune Checkpoint Blockade (ICB) therapy with stable response status following initiation of therapy. Stable disease would be observed over at least 2 consecutive standard of care CT scans (usually done 8-12 weeks apart) after initiation of therapy,
"A Multicenter, Randomized, Placebo-Controlled, Crossover Study for the Evaluation of the Safety, Tolerability, and Efficacy of ARX-F02 Compared to Placebo in the Treatment of Cancer Breakthrough Pain","[inclusion] patient must be able to provide reliable documentation of pain intensity, pain relief, use of rescue medication, and global evaluation of treatment personally or with the help of a caregiver",1
Phase I and Pharmacokinetic Study of Ibrutinib in HIV-Infected Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma or Multiple Myeloma,[exclusion] receipt of any investigational agents within 14 days before the first dose of ibrutinib,1
"A Double-blind, Randomized, Phase 2 Study to Investigate the Efficacy, Tolerability and Pharmacokinetics of MYMD1 in the Treatment of Participants Aged 65 Years or Older With Chronic Inflammation Associated With Sarcopenia/Frailty",[inclusion] male participants who engage in heterosexual intercourse must agree to use protocol specified method(s) of contraception,1
"A Phase 2 Open-label Multicenter Study to Evaluate the Safety and Efficacy of Repeated Administration of NurOwn∝ [Autologous Mesenchymal Stem Cells Secreting Neurotrophic Factors (NTF), MSC-NTF] Cells in Participants With Progressive MS","[exclusion] any history of malignancy within the previous 5 years, except for non-melanoma localized skin cancers (with no evidence of metastasis, significant invasion, or reoccurrence within three years of Screening Visit (Visit 1))",
"A Phase I Study of the Safety and Immunogenicity of the Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine, RSV MEDI ツM2-2 Lot RSV#002A, Delivered as Nose Drops to Adults 18 to 49 Years of Age, RSV-Seropositive Children 12 to 59 Months of Age, and RSV-Seronegative Infants and Children 6 to 24 Months of Age",[exclusion] previous immunization with an RSV vaccine,
"Evaluation of Response to Abiraterone/Prednisone by Race/Ethnicity, PSA Decline and Genetic Variation in Proteins Involved in Androgen Metabolism in Metastatic Hormone Naive Prostate Cancer","[exclusion] patients must not have known gastrointestinal (GI) disease or GI procedure that could interfere with the GI absorption or tolerance of abiraterone, including difficulty swallowing oral medications per investigator's clinical judgement",
"A Phase IIa, Randomized, Single-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Safety, Pharmacokinetics, and Efficacy of 28-day Repeat Oral Doses of GSK1278863A in Anemic Pre-dialysis and Hemodialysis-dependent Patients",[inclusion] body weight ｜ 45 kg,1
"A Phase IIa, Open Label, Dose-escalating Clinical Study to Evaluate the Safety, Tolerability and Therapeutic Effects of Transplantation of Autologous Mesenchymal Bone Marrow Stromal Cells Secreting Neurotrophic Factors (MSC-NTF), in Patients With Amyotrophic Lateral Sclerosis (ALS).",[exclusion] patient is positive for anti-GM1 antibodies,
Safety and Single Dose Population Pharmacokinetics and Bioavailability of Methadone and Its Enantiomers in Newborns and Young Infants At 29-48 Weeks Post Menstrual Age,"[exclusion] history of arrhythmias, excluding bradycardia associated with apnea",
Radio(Chemo)Therapy Dose Escalation in Non-operative Management for Rectal Cancer: A Prospective NOM-3 Observational Study,"[exclusion] cT1, cT3d, large T4, tumour ｜5cm or ｜50 of rectal circumferential extent",
Induction Therapy With Pacritinib Combined With Decitabine or Cytarabine in Older Patients With Acute Myeloid Leukemia (AML),[exclusion] prior treatment with pacritinib,1
Bioavailability of Subcutaneously Given Dexmedetomidine in Healthy Volunteers,[exclusion] donation of blood within six weeks prior to and during the study,
"An Open-label, Sequential Study to Evaluate the Pharmacokinetics of Digoxin When Coadministered With Albiglutide in Healthy Adult Subjects",[exclusion] history of cholecystitis or other gallbladder disease,
A Study to Evaluate the Influence of Metal Cation-Containing Antacids on MK-0518 Pharmacokinetics in HIV-Infected Subjects on a Stable Raltegravir-Containing Regimen,"[exclusion] is currently taking rifampin or atazanavir or is unable to refrain from the use of 1) any proton pump inhibitor from two weeks prior to the study through the completion of Period 4, and 2) any H2-blockers, over-the-counter antacids, calcium supplements or multivitamins from one week prior to the study through the completion of Period 4",
An Open-Label Study of Bendamustine Hydrochloride in Combination With Rituximab in the Treatment of Patients With Relapsed/Refractory Mantle Cell Lymphoma,[exclusion] has received more than 3 previous standard chemotherapy regimens,
"YELLOW II Study: Reduction in Coronary Yellow Plaque, Lipids and Vascular Inflammation by Aggressive Lipid Lowering","[exclusion] patients with platelet count < 100,000 cell/mm3",
A Phase I Study of AEG35156 in Combination With Docetaxel in Patients With Solid Tumors,"[inclusion] no other serious illness or medical condition that would be aggravated by treatment or preclude study requirements, including any of the following: Serious uncontrolled infection",1
A Phase II Study of Anakinra (IL-1 Receptor Antagonist) in Patients With Smoldering/Indolent Multiple Myeloma,[inclusion] creatinine ∥ 1.5 times upper limit of normal,1
Quantifying Brown Adipose Tissue Thermogenesis in Type 2 Diabetes,[exclusion] smoking or consumption of more than 2 alcoholic beverages per day,1
An Open Label Dose and Schedule Finding Trial to Evaluate the Safety and Efficacy of AMG 531 for Treatment of Severe Thrombocytopenia Due to Multi-Cycle Chemotherapy in Adult Subjects With Lymphoma.,[inclusion] eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1,1
Feasibility Study of the Safety and Activity of Autologous Bone Marrow Aspirate Concentrate (BMAC) for the Treatment of Critical Limb Ischemia Due to Peripheral Arterial Occlusive Disease,[exclusion] treatment with immunosuppressant drugs (including Prednisone > 5 mg per day),
Single and Multiple Dose Pharmacokinetics and Pharmacodynamics of Prasugrel (LY640315) in Korean Healthy Male Subjects,"[inclusion] are overtly healthy males, as determined by medical history and physical examination",1
"An Open-Label, Randomized, Multicenter, Phase 3 Study to Determine the Safety, Tolerability, and Tumor Response of Oraxol and Its Comparability to IV Taxol or Generic IV Paclitaxel in Subjects With Metastatic Breast Cancer",[exclusion] known chronic hepatitis or cirrhosis,1
Phase II Study of Mifepristone (RU-486) in the Treatment of PR Positive Advanced/Recurrent Endometrioid Adenocarcinoma and Low Grade Endometrial Stromal Sarcoma (LGESS),[exclusion] concurrent serious infection,1
